Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
230397,OIE,-26.80,28.80,Africa,South Africa,Mpumalanga,Mpumalanga,Exact,8/11/2017,8/22/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",266,81,81,135,0,,,,
223179,OIE,51.03,16.28,Europe,Poland,Dolnoslaskie,Msciwojow,Exact,1/27/2017,2/3/2017,Confirmed,Influenza - Avian,H5N5 HPAI,"wild,mute swan (cygnus olor))",,20,20,0,0,,,,
227753,OIE,34.87,126.48,Asia,Republic Of Korea,Chollanam-Do,Muan-Gun,Exact,3/15/2017,5/12/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",7360,60,60,7300,0,,,,
227068,OIE,34.87,126.48,Asia,Republic Of Korea,Chollanam-Do,Muan-Gun,Exact,3/15/2017,4/14/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",7360,60,60,7300,0,,,,
227750,OIE,34.87,126.48,Asia,Republic Of Korea,Chollanam-Do,Muan-Gun,Exact,3/10/2017,5/12/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",9000,0,0,9000,0,,,,
227065,OIE,34.87,126.48,Asia,Republic Of Korea,Chollanam-Do,Muan-Gun,Exact,3/10/2017,4/14/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",9000,0,0,9000,0,,,,
227033,OIE,34.87,126.48,Asia,Republic Of Korea,Chollanam-Do,Muan-Gun,Exact,1/10/2017,4/14/2017,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",15900,1400,1400,14500,0,,,,
219576,OIE,34.87,126.48,Asia,Republic Of Korea,Chollanam-Do,Muan-Gun,Centroid Locality,11/19/2016,11/24/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",22000,3300,3300,18700,0,,,,
216822,National authorities,-5.28,104.77,Asia,Indonesia,Lampung,Muara Dua,Exact,3/3/2016,3/3/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,15,,,,,,
216780,National authorities,-0.67,101.03,Asia,Indonesia,Sumatera Barat,Muaro,Exact,2/24/2016,2/24/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,26,,,,,,
229382,OIE,1.96,30.52,Africa,Democratic Republic Of The Congo,Orientale,Muganga,Exact,6/15/2017,7/19/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",,189,189,,,,0,,
212493,sequence only,35.44,45.42,Asia,Iraq,Sulaymaniyah,Mughagh,Centroid Admin2,4/28/2015,1/10/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,,,,,,,
225059,OIE,43.75,-0.75,Europe,France,Aquitaine,Mugron,Exact,2/24/2017,3/10/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",0,0,0,0,0,,,,
224128,OIE,43.75,-0.75,Europe,France,Aquitaine,Mugron,Unknown,2/11/2017,2/17/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",6539,0,0,0,0,,,,
209406,OIE,43.75,-0.75,Europe,France,Aquitaine,Mugron,Exact,12/12/2015,12/24/2015,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, duck",2600,0,0,0,0,,,,
228499,OIE,2.14,30.95,Africa,Democratic Republic Of The Congo,Orientale,Muguma,Exact,5/23/2017,6/14/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",,138,138,0,0,,,,
228798,OIE,2.02,30.92,Africa,Democratic Republic Of The Congo,Orientale,Mukashi,Exact,6/7/2017,6/30/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",,4800,4800,,,,,,
216791,National authorities,-6.46,108.41,Asia,Indonesia,Jawa Barat,Mundu,Exact,3/30/2016,3/30/2016,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck",,,5,,,,,,
